DEPARTURES_PERFORMED,DISTANCE,AIR_TIME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,DATA_SOURCE,FUEL_CONSUMPTION
1,152,35,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",608,2,DU,4850
1,152,36,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",699,7,DU,6336
1,152,38,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",622,10,DU,7319
1,152,52,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",614,1,DU,5578
1,152,73,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15412,TYS,"Knoxville, TN",888,5,DU,5732
1,153,28,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11996,GSP,"Greer, SC",622,10,DU,7319
1,153,30,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11996,GSP,"Greer, SC",888,11,DU,5732
1,153,34,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11996,GSP,"Greer, SC",614,10,DU,5578
1,153,34,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11996,GSP,"Greer, SC",698,10,DU,5234
1,153,36,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11996,GSP,"Greer, SC",608,3,DU,4850
1,153,81,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11996,GSP,"Greer, SC",694,6,DU,5291
1,164,32,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10431,AVL,"Asheville, NC",699,10,DU,6336
1,164,33,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10431,AVL,"Asheville, NC",694,9,DU,5291
1,186,40,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15153,TCL,"Tuscaloosa, AL",622,10,DU,7319
1,186,44,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",15153,TCL,"Tuscaloosa, AL",622,9,DU,7319
1,192,32,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",608,1,DU,4850
1,192,33,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",622,9,DU,7319
1,192,33,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",699,5,DU,6336
1,192,34,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",694,10,DU,5291
1,192,34,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",699,3,DU,6336
1,192,35,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",694,11,DU,5291
1,192,36,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",622,11,DU,7319
1,192,41,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",888,7,DU,5732
1,214,35,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14685,SAV,"Savannah, GA",694,5,DU,5291
1,214,36,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14685,SAV,"Savannah, GA",698,1,DU,5234
1,214,37,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10693,BNA,"Nashville, TN",624,10,DU,11684
1,214,37,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10693,BNA,"Nashville, TN",626,11,DU,11023
1,214,37,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10693,BNA,"Nashville, TN",698,4,DU,5234
1,214,37,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14685,SAV,"Savannah, GA",622,4,DU,7319
1,214,38,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10693,BNA,"Nashville, TN",622,11,DU,7319
1,214,38,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10693,BNA,"Nashville, TN",694,9,DU,5291
